"Statistic","Year","Age","Type of Registration","UNIT","VALUE"
"Used  (Imported) Cars Registered","2010","8 years","Exempt registrations","Number","225"
"Used  (Imported) Cars Registered","2010","8 years","Net registrations","Number","2717"
"Used  (Imported) Cars Registered","2010","9 years","Gross registrations","Number","2685"
"Used  (Imported) Cars Registered","2010","9 years","Exempt registrations","Number","180"
"Used  (Imported) Cars Registered","2010","9 years","Net registrations","Number","2505"
"Used  (Imported) Cars Registered","2010","10 years","Gross registrations","Number","2008"
"Used  (Imported) Cars Registered","2010","10 years","Exempt registrations","Number","177"
"Used  (Imported) Cars Registered","2010","10 years","Net registrations","Number","1831"
"Used  (Imported) Cars Registered","2010","11 years","Gross registrations","Number","1307"
"Used  (Imported) Cars Registered","2010","11 years","Exempt registrations","Number","135"
"Used  (Imported) Cars Registered","2010","11 years","Net registrations","Number","1172"
"Used  (Imported) Cars Registered","2010","12 years","Gross registrations","Number","808"
"Used  (Imported) Cars Registered","2010","12 years","Exempt registrations","Number","80"
"Used  (Imported) Cars Registered","2010","12 years","Net registrations","Number","728"
"Used  (Imported) Cars Registered","2010","13 years and over","Gross registrations","Number","1952"
"Used  (Imported) Cars Registered","2010","13 years and over","Exempt registrations","Number","249"
"Used  (Imported) Cars Registered","2010","13 years and over","Net registrations","Number","1703"
"Used  (Imported) Cars Registered","2011","All ages","Gross registrations","Number","40809"
"Used  (Imported) Cars Registered","2011","All ages","Exempt registrations","Number","2595"
"Used  (Imported) Cars Registered","2011","All ages","Net registrations","Number","38214"
"Used  (Imported) Cars Registered","2011","1 year","Gross registrations","Number","1001"
"Used  (Imported) Cars Registered","2011","1 year","Exempt registrations","Number","42"
"Used  (Imported) Cars Registered","2011","1 year","Net registrations","Number","959"
"Used  (Imported) Cars Registered","2011","2 years","Gross registrations","Number","4978"
"Used  (Imported) Cars Registered","2011","2 years","Exempt registrations","Number","218"
"Used  (Imported) Cars Registered","2011","2 years","Net registrations","Number","4760"
"Used  (Imported) Cars Registered","2011","3 years","Gross registrations","Number","3864"
"Used  (Imported) Cars Registered","2011","3 years","Exempt registrations","Number","243"
"Used  (Imported) Cars Registered","2011","3 years","Net registrations","Number","3621"
"Used  (Imported) Cars Registered","2011","4 years","Gross registrations","Number","10960"
"Used  (Imported) Cars Registered","2011","4 years","Exempt registrations","Number","306"
"Used  (Imported) Cars Registered","2011","4 years","Net registrations","Number","10654"
"Used  (Imported) Cars Registered","2011","5 years","Gross registrations","Number","3101"
"Used  (Imported) Cars Registered","2011","5 years","Exempt registrations","Number","283"
"Used  (Imported) Cars Registered","2011","5 years","Net registrations","Number","2818"
"Used  (Imported) Cars Registered","2011","6 years","Gross registrations","Number","2943"
"Used  (Imported) Cars Registered","2011","6 years","Exempt registrations","Number","280"
"Used  (Imported) Cars Registered","2011","6 years","Net registrations","Number","2663"
"Used  (Imported) Cars Registered","2011","7 years","Gross registrations","Number","2945"
"Used  (Imported) Cars Registered","2011","7 years","Exempt registrations","Number","234"
"Used  (Imported) Cars Registered","2011","7 years","Net registrations","Number","2711"
"Used  (Imported) Cars Registered","2011","8 years","Gross registrations","Number","2848"
"Used  (Imported) Cars Registered","2011","8 years","Exempt registrations","Number","223"
